,Unnamed: 0.1,Unnamed: 0,Date,Matchup,Bookmaker,Team,Moneyline Odds,Estimated Win Percentage,Opposing Odds,TEAM_NAME,GAME_DATE,Model Win Prob,WL,Difference,Profit
1603,1661,1661,2024-02-22,Utah Jazz vs Charlotte Hornets,draftkings,Utah Jazz,-485,0.8290598290598291,370,Utah Jazz,2024-02-22,0.36484128,0,-0.4642185490598291,370.0
741,769,769,2023-12-18,Toronto Raptors vs Charlotte Hornets,draftkings,Toronto Raptors,-600,0.8571428571428571,440,Toronto Raptors,2023-12-18,0.3952148,1,-0.4619280571428571,-100.0
2148,2226,2226,2024-03-31,Sacramento Kings vs Utah Jazz,draftkings,Sacramento Kings,-1050,0.9130434782608696,675,Sacramento Kings,2024-03-31,0.45662013,1,-0.4564233482608696,-100.0
902,934,934,2023-12-29,Portland Trail Blazers vs San Antonio Spurs,draftkings,Portland Trail Blazers,-238,0.7041420118343196,195,Portland Trail Blazers,2023-12-29,0.2482741,1,-0.4558679118343196,-100.0
1811,1876,1876,2024-03-07,Sacramento Kings vs San Antonio Spurs,draftkings,Sacramento Kings,-535,0.84251968503937,400,Sacramento Kings,2024-03-07,0.386771,1,-0.45574868503937005,-100.0
282,291,291,2023-11-13,Boston Celtics vs New York Knicks,draftkings,New York Knicks,320,0.238095238095238,-410,New York Knicks,2023-11-13,0.69373095,0,0.45563571190476193,-100.0
2291,2374,2374,2024-04-10,Atlanta Hawks vs Charlotte Hornets,draftkings,Atlanta Hawks,-575,0.8518518518518519,425,Atlanta Hawks,2024-04-10,0.3970247,0,-0.45482715185185185,425.0
2183,2262,2262,2024-04-03,Atlanta Hawks vs Detroit Pistons,draftkings,Atlanta Hawks,-700,0.875,500,Atlanta Hawks,2024-04-03,0.4217163,1,-0.4532837,-100.0
275,284,284,2023-11-12,Los Angeles Lakers vs Portland Trail Blazers,draftkings,Los Angeles Lakers,-455,0.8198198198198198,350,Los Angeles Lakers,2023-11-12,0.3717942,1,-0.44802561981981975,-100.0
973,1007,1007,2024-01-03,Utah Jazz vs Detroit Pistons,draftkings,Utah Jazz,-380,0.7916666666666666,300,Utah Jazz,2024-01-03,0.34668577,1,-0.4449808966666666,-100.0
18,18,18,2023-10-25,Chicago Bulls vs Oklahoma City Thunder,draftkings,Chicago Bulls,-112,0.5283018867924528,-108,Chicago Bulls,2023-10-25,0.08539362,0,-0.4429082667924528,92.5925925925926
2017,2089,2089,2024-03-22,San Antonio Spurs vs Memphis Grizzlies,draftkings,San Antonio Spurs,-250,0.7142857142857143,205,San Antonio Spurs,2024-03-22,0.27207616,0,-0.4422095542857143,205.0
1783,1847,1847,2024-03-05,Denver Nuggets vs Phoenix Suns,draftkings,Phoenix Suns,340,0.2272727272727272,-440,Phoenix Suns,2024-03-05,0.6693987,1,0.44212597272727283,340.0
1422,1473,1473,2024-02-04,Charlotte Hornets vs Indiana Pacers,draftkings,Indiana Pacers,-440,0.8148148148148148,340,Indiana Pacers,2024-02-04,0.37326434,1,-0.4415504748148148,-100.0
86,89,89,2023-10-30,Toronto Raptors vs Portland Trail Blazers,draftkings,Toronto Raptors,-305,0.7530864197530864,245,Toronto Raptors,2023-10-30,0.31407937,0,-0.4390070497530864,245.0
1103,1143,1143,2024-01-12,Denver Nuggets vs New Orleans Pelicans,draftkings,New Orleans Pelicans,270,0.2702702702702703,-340,New Orleans Pelicans,2024-01-12,0.7074218,0,0.4371515297297297,-100.0
59,61,61,2023-10-28,Cleveland Cavaliers vs Indiana Pacers,draftkings,Indiana Pacers,136,0.423728813559322,-162,Indiana Pacers,2023-10-28,0.860135,1,0.43640618644067797,136.0
2081,2156,2156,2024-03-27,Atlanta Hawks vs Portland Trail Blazers,draftkings,Atlanta Hawks,-550,0.8461538461538461,410,Atlanta Hawks,2024-03-27,0.41475275,1,-0.43140109615384614,-100.0
265,274,274,2023-11-12,Chicago Bulls vs Detroit Pistons,draftkings,Chicago Bulls,-310,0.7560975609756098,250,Chicago Bulls,2023-11-12,0.32493588,1,-0.43116168097560975,-100.0
511,528,528,2023-11-30,Cleveland Cavaliers vs Portland Trail Blazers,draftkings,Cleveland Cavaliers,-600,0.8571428571428571,440,Cleveland Cavaliers,2023-11-30,0.42761248,0,-0.4295303771428571,440.0
4,4,4,2023-10-25,Charlotte Hornets vs Atlanta Hawks,draftkings,Atlanta Hawks,-170,0.6296296296296297,142,Atlanta Hawks,2023-10-25,0.20036414,0,-0.4292654896296296,142.0
1676,1736,1736,2024-02-27,Chicago Bulls vs Detroit Pistons,draftkings,Chicago Bulls,-625,0.8620689655172413,455,Chicago Bulls,2024-02-27,0.43282795,0,-0.4292410155172413,455.0
1980,2051,2051,2024-03-19,Minnesota Timberwolves vs Denver Nuggets,draftkings,Minnesota Timberwolves,240,0.2941176470588235,-298,Minnesota Timberwolves,2024-03-19,0.7228246,0,0.42870695294117656,-100.0
690,716,716,2023-12-15,Washington Wizards vs Indiana Pacers,draftkings,Indiana Pacers,-345,0.7752808988764045,275,Indiana Pacers,2023-12-15,0.34901303,0,-0.4262678688764045,275.0
1047,1085,1085,2024-01-09,Detroit Pistons vs Sacramento Kings,draftkings,Sacramento Kings,-575,0.8518518518518519,425,Sacramento Kings,2024-01-09,0.42698276,1,-0.42486909185185184,-100.0
98,101,101,2023-10-30,Los Angeles Lakers vs Orlando Magic,draftkings,Orlando Magic,130,0.4347826086956521,-155,Orlando Magic,2023-10-30,0.85871106,0,0.42392845130434786,-100.0
40,41,41,2023-10-27,Cleveland Cavaliers vs Oklahoma City Thunder,draftkings,Oklahoma City Thunder,130,0.4347826086956521,-155,Oklahoma City Thunder,2023-10-27,0.85844404,1,0.42366143130434786,130.0
2371,2457,2457,2024-04-14,Sacramento Kings vs Portland Trail Blazers,draftkings,Sacramento Kings,-1450,0.935483870967742,850,Sacramento Kings,2024-04-14,0.5134113,1,-0.422072570967742,-100.0
2120,2197,2197,2024-03-29,Denver Nuggets vs Minnesota Timberwolves,draftkings,Minnesota Timberwolves,220,0.3125,-270,Minnesota Timberwolves,2024-03-29,0.7342396,1,0.4217396,220.0
617,637,637,2023-12-08,Denver Nuggets vs Houston Rockets,draftkings,Houston Rockets,285,0.2597402597402597,-360,Houston Rockets,2023-12-08,0.68063444,1,0.42089418025974024,285.0
1998,2070,2070,2024-03-21,Washington Wizards vs Sacramento Kings,draftkings,Sacramento Kings,-650,0.8666666666666667,470,Sacramento Kings,2024-03-21,0.4468649,0,-0.4198017666666667,470.0
277,286,286,2023-11-13,Toronto Raptors vs Washington Wizards,draftkings,Toronto Raptors,-440,0.8148148148148148,340,Toronto Raptors,2023-11-13,0.39575303,1,-0.41906178481481476,-100.0
2231,2312,2312,2024-04-06,Brooklyn Nets vs Detroit Pistons,draftkings,Brooklyn Nets,-360,0.782608695652174,285,Brooklyn Nets,2024-04-06,0.36356226,1,-0.4190464356521739,-100.0
1755,1818,1818,2024-03-04,Brooklyn Nets vs Memphis Grizzlies,draftkings,Brooklyn Nets,-380,0.7916666666666666,300,Brooklyn Nets,2024-03-04,0.37291306,0,-0.4187536066666666,300.0
1932,2002,2002,2024-03-16,Chicago Bulls vs Washington Wizards,draftkings,Chicago Bulls,-485,0.8290598290598291,370,Chicago Bulls,2024-03-16,0.41055787,1,-0.4185019590598291,-100.0
1155,1197,1197,2024-01-16,Los Angeles Clippers vs Oklahoma City Thunder,draftkings,Oklahoma City Thunder,170,0.3703703703703703,-205,Oklahoma City Thunder,2024-01-16,0.78852,0,0.4181496296296297,-100.0
1984,2055,2055,2024-03-20,Detroit Pistons vs Indiana Pacers,draftkings,Indiana Pacers,-425,0.8095238095238095,330,Indiana Pacers,2024-03-20,0.39171603,1,-0.41780777952380954,-100.0
504,520,520,2023-11-29,Memphis Grizzlies vs Utah Jazz,draftkings,Memphis Grizzlies,-185,0.6491228070175439,154,Memphis Grizzlies,2023-11-29,0.23503089,1,-0.4140919170175439,-100.0
1316,1364,1364,2024-01-28,Indiana Pacers vs Memphis Grizzlies,draftkings,Indiana Pacers,-380,0.7916666666666666,300,Indiana Pacers,2024-01-28,0.37773797,1,-0.41392869666666665,-100.0
882,914,914,2023-12-28,Portland Trail Blazers vs San Antonio Spurs,draftkings,Portland Trail Blazers,-185,0.6491228070175439,154,Portland Trail Blazers,2023-12-28,0.23542984,0,-0.4136929670175439,154.0
1305,1353,1353,2024-01-27,Charlotte Hornets vs Utah Jazz,draftkings,Utah Jazz,-455,0.8198198198198198,350,Utah Jazz,2024-01-27,0.40859184,1,-0.4112279798198198,-100.0
1881,1949,1949,2024-03-12,Los Angeles Clippers vs Minnesota Timberwolves,draftkings,Minnesota Timberwolves,225,0.3076923076923077,-278,Minnesota Timberwolves,2024-03-12,0.71813583,1,0.4104435223076923,225.0
111,115,115,2023-11-01,Miami Heat vs Brooklyn Nets,draftkings,Miami Heat,-238,0.7041420118343196,195,Miami Heat,2023-11-01,0.2939618,0,-0.4101802118343196,195.0
1608,1666,1666,2024-02-22,Sacramento Kings vs San Antonio Spurs,draftkings,Sacramento Kings,-410,0.803921568627451,320,Sacramento Kings,2024-02-22,0.3941412,1,-0.409780368627451,-100.0
1654,1713,1713,2024-02-25,Portland Trail Blazers vs Charlotte Hornets,draftkings,Portland Trail Blazers,-148,0.5967741935483871,124,Portland Trail Blazers,2024-02-25,0.18702349,0,-0.40975070354838716,124.0
