,Unnamed: 0,Date,Matchup,Bookmaker,Team,Moneyline Odds,Estimated Win Percentage,Opposing Odds
46,46,2023-10-27T12:00:00Z,Dallas Mavericks vs Brooklyn Nets,draftkings,Brooklyn Nets,190,0.3448275862068966,-230
47,47,2023-10-27T12:00:00Z,Dallas Mavericks vs Brooklyn Nets,draftkings,Dallas Mavericks,-230,0.696969696969697,190
48,48,2023-10-27T12:00:00Z,Utah Jazz vs Los Angeles Clippers,draftkings,Los Angeles Clippers,-162,0.6183206106870229,136
49,49,2023-10-27T12:00:00Z,Utah Jazz vs Los Angeles Clippers,draftkings,Utah Jazz,136,0.423728813559322,-162
50,50,2023-10-27T12:00:00Z,Sacramento Kings vs Golden State Warriors,draftkings,Golden State Warriors,124,0.44642857142857145,-148
51,51,2023-10-27T12:00:00Z,Sacramento Kings vs Golden State Warriors,draftkings,Sacramento Kings,-148,0.5967741935483871,124
52,52,2023-10-27T12:00:00Z,Portland Trail Blazers vs Orlando Magic,draftkings,Orlando Magic,-148,0.5967741935483871,124
53,53,2023-10-27T12:00:00Z,Portland Trail Blazers vs Orlando Magic,draftkings,Portland Trail Blazers,124,0.44642857142857145,-148
54,54,2023-10-28T12:00:00Z,Detroit Pistons vs Chicago Bulls,draftkings,Chicago Bulls,-118,0.5412844036697247,-102
55,55,2023-10-28T12:00:00Z,Detroit Pistons vs Chicago Bulls,draftkings,Detroit Pistons,-102,0.504950495049505,-118
56,56,2023-10-28T12:00:00Z,Washington Wizards vs Memphis Grizzlies,draftkings,Memphis Grizzlies,-125,0.5555555555555556,100
57,57,2023-10-28T12:00:00Z,Washington Wizards vs Memphis Grizzlies,draftkings,Washington Wizards,100,0.5,-125
58,58,2023-10-28T12:00:00Z,New Orleans Pelicans vs New York Knicks,draftkings,New Orleans Pelicans,-162,0.6183206106870229,136
59,59,2023-10-28T12:00:00Z,New Orleans Pelicans vs New York Knicks,draftkings,New York Knicks,136,0.423728813559322,-162
60,60,2023-10-28T12:00:00Z,Cleveland Cavaliers vs Indiana Pacers,draftkings,Cleveland Cavaliers,-162,0.6183206106870229,136
61,61,2023-10-28T12:00:00Z,Cleveland Cavaliers vs Indiana Pacers,draftkings,Indiana Pacers,136,0.423728813559322,-162
62,62,2023-10-28T12:00:00Z,Toronto Raptors vs Philadelphia 76ers,draftkings,Philadelphia 76ers,-175,0.6363636363636364,145
63,63,2023-10-28T12:00:00Z,Toronto Raptors vs Philadelphia 76ers,draftkings,Toronto Raptors,145,0.40816326530612246,-175
64,64,2023-10-28T12:00:00Z,Minnesota Timberwolves vs Miami Heat,draftkings,Miami Heat,160,0.38461538461538464,-192
65,65,2023-10-28T12:00:00Z,Minnesota Timberwolves vs Miami Heat,draftkings,Minnesota Timberwolves,-192,0.6575342465753424,160
66,66,2023-10-28T12:00:00Z,Phoenix Suns vs Utah Jazz,draftkings,Phoenix Suns,-230,0.696969696969697,190
67,67,2023-10-28T12:00:00Z,Phoenix Suns vs Utah Jazz,draftkings,Utah Jazz,190,0.3448275862068966,-230
68,68,2023-10-29T12:00:00Z,Oklahoma City Thunder vs Denver Nuggets,draftkings,Denver Nuggets,-155,0.6078431372549019,130
69,69,2023-10-29T12:00:00Z,Oklahoma City Thunder vs Denver Nuggets,draftkings,Oklahoma City Thunder,130,0.43478260869565216,-155
70,70,2023-10-29T12:00:00Z,Milwaukee Bucks vs Atlanta Hawks,draftkings,Atlanta Hawks,225,0.3076923076923077,-278
71,71,2023-10-29T12:00:00Z,Milwaukee Bucks vs Atlanta Hawks,draftkings,Milwaukee Bucks,-278,0.7354497354497355,225
72,72,2023-10-29T12:00:00Z,Houston Rockets vs Golden State Warriors,draftkings,Golden State Warriors,-185,0.6491228070175439,154
73,73,2023-10-29T12:00:00Z,Houston Rockets vs Golden State Warriors,draftkings,Houston Rockets,154,0.3937007874015748,-185
74,74,2023-10-29T12:00:00Z,Philadelphia 76ers vs Portland Trail Blazers,draftkings,Philadelphia 76ers,-485,0.8290598290598291,370
75,75,2023-10-29T12:00:00Z,Philadelphia 76ers vs Portland Trail Blazers,draftkings,Portland Trail Blazers,370,0.2127659574468085,-485
76,76,2023-10-29T12:00:00Z,Los Angeles Clippers vs San Antonio Spurs,draftkings,Los Angeles Clippers,-395,0.797979797979798,295
77,77,2023-10-29T12:00:00Z,Los Angeles Clippers vs San Antonio Spurs,draftkings,San Antonio Spurs,295,0.25316455696202533,-395
78,78,2023-10-29T12:00:00Z,Sacramento Kings vs Los Angeles Lakers,draftkings,Los Angeles Lakers,124,0.44642857142857145,-148
79,79,2023-10-29T12:00:00Z,Sacramento Kings vs Los Angeles Lakers,draftkings,Sacramento Kings,-148,0.5967741935483871,124
80,80,2023-10-30T12:00:00Z,Washington Wizards vs Boston Celtics,draftkings,Boston Celtics,-485,0.8290598290598291,370
81,81,2023-10-30T12:00:00Z,Washington Wizards vs Boston Celtics,draftkings,Washington Wizards,370,0.2127659574468085,-485
82,82,2023-10-30T12:00:00Z,Charlotte Hornets vs Brooklyn Nets,draftkings,Brooklyn Nets,-115,0.5348837209302325,-105
83,83,2023-10-30T12:00:00Z,Charlotte Hornets vs Brooklyn Nets,draftkings,Charlotte Hornets,-105,0.5121951219512195,-115
84,84,2023-10-30T12:00:00Z,Indiana Pacers vs Chicago Bulls,draftkings,Chicago Bulls,140,0.4166666666666667,-166
85,85,2023-10-30T12:00:00Z,Indiana Pacers vs Chicago Bulls,draftkings,Indiana Pacers,-166,0.6240601503759399,140
86,86,2023-10-30T12:00:00Z,Atlanta Hawks vs Minnesota Timberwolves,draftkings,Atlanta Hawks,110,0.47619047619047616,-130
87,87,2023-10-30T12:00:00Z,Atlanta Hawks vs Minnesota Timberwolves,draftkings,Minnesota Timberwolves,-130,0.5652173913043478,110
88,88,2023-10-30T12:00:00Z,Toronto Raptors vs Portland Trail Blazers,draftkings,Portland Trail Blazers,245,0.2898550724637681,-305
89,89,2023-10-30T12:00:00Z,Toronto Raptors vs Portland Trail Blazers,draftkings,Toronto Raptors,-305,0.7530864197530864,245
90,90,2023-10-30T12:00:00Z,Memphis Grizzlies vs Dallas Mavericks,draftkings,Dallas Mavericks,-142,0.5867768595041323,120
91,91,2023-10-30T12:00:00Z,Memphis Grizzlies vs Dallas Mavericks,draftkings,Memphis Grizzlies,120,0.45454545454545453,-142
92,92,2023-10-30T12:00:00Z,Oklahoma City Thunder vs Detroit Pistons,draftkings,Detroit Pistons,180,0.35714285714285715,-218
93,93,2023-10-30T12:00:00Z,Oklahoma City Thunder vs Detroit Pistons,draftkings,Oklahoma City Thunder,-218,0.6855345911949685,180
94,94,2023-10-30T12:00:00Z,Milwaukee Bucks vs Miami Heat,draftkings,Miami Heat,170,0.37037037037037035,-205
95,95,2023-10-30T12:00:00Z,Milwaukee Bucks vs Miami Heat,draftkings,Milwaukee Bucks,-205,0.6721311475409836,170
96,96,2023-10-30T12:00:00Z,New Orleans Pelicans vs Golden State Warriors,draftkings,Golden State Warriors,114,0.4672897196261682,-135
97,97,2023-10-30T12:00:00Z,New Orleans Pelicans vs Golden State Warriors,draftkings,New Orleans Pelicans,-135,0.574468085106383,114
98,98,2023-10-30T12:00:00Z,Denver Nuggets vs Utah Jazz,draftkings,Denver Nuggets,-340,0.7727272727272727,270
99,99,2023-10-30T12:00:00Z,Denver Nuggets vs Utah Jazz,draftkings,Utah Jazz,270,0.2702702702702703,-340
100,100,2023-10-30T12:00:00Z,Los Angeles Lakers vs Orlando Magic,draftkings,Los Angeles Lakers,-155,0.6078431372549019,130
101,101,2023-10-30T12:00:00Z,Los Angeles Lakers vs Orlando Magic,draftkings,Orlando Magic,130,0.43478260869565216,-155
102,102,2023-10-31T12:00:00Z,Cleveland Cavaliers vs New York Knicks,draftkings,Cleveland Cavaliers,124,0.44642857142857145,-148
103,103,2023-10-31T12:00:00Z,Cleveland Cavaliers vs New York Knicks,draftkings,New York Knicks,-148,0.5967741935483871,124
104,104,2023-10-31T12:00:00Z,Phoenix Suns vs San Antonio Spurs,draftkings,Phoenix Suns,-310,0.7560975609756098,250
105,105,2023-10-31T12:00:00Z,Phoenix Suns vs San Antonio Spurs,draftkings,San Antonio Spurs,250,0.2857142857142857,-310
106,106,2023-10-31T12:00:00Z,Los Angeles Clippers vs Orlando Magic,draftkings,Los Angeles Clippers,-298,0.7487437185929648,240
107,107,2023-10-31T12:00:00Z,Los Angeles Clippers vs Orlando Magic,draftkings,Orlando Magic,240,0.29411764705882354,-298
108,108,2023-11-01T12:00:00Z,Detroit Pistons vs Portland Trail Blazers,draftkings,Detroit Pistons,-166,0.6240601503759399,140
109,109,2023-11-01T12:00:00Z,Detroit Pistons vs Portland Trail Blazers,draftkings,Portland Trail Blazers,140,0.4166666666666667,-166
110,110,2023-11-01T12:00:00Z,Toronto Raptors vs Milwaukee Bucks,draftkings,Milwaukee Bucks,-205,0.6721311475409836,170
111,111,2023-11-01T12:00:00Z,Toronto Raptors vs Milwaukee Bucks,draftkings,Toronto Raptors,170,0.37037037037037035,-205
112,112,2023-11-01T12:00:00Z,Atlanta Hawks vs Washington Wizards,draftkings,Atlanta Hawks,-310,0.7560975609756098,250
113,113,2023-11-01T12:00:00Z,Atlanta Hawks vs Washington Wizards,draftkings,Washington Wizards,250,0.2857142857142857,-310
114,114,2023-11-01T12:00:00Z,Miami Heat vs Brooklyn Nets,draftkings,Brooklyn Nets,195,0.3389830508474576,-238
115,115,2023-11-01T12:00:00Z,Miami Heat vs Brooklyn Nets,draftkings,Miami Heat,-238,0.7041420118343196,195
116,116,2023-11-01T12:00:00Z,New York Knicks vs Cleveland Cavaliers,draftkings,Cleveland Cavaliers,225,0.3076923076923077,-278
117,117,2023-11-01T12:00:00Z,New York Knicks vs Cleveland Cavaliers,draftkings,New York Knicks,-278,0.7354497354497355,225
