feature,delta_logloss,mean_loss,std_loss,stderr,z
AST,-0.0017564239808970372,0.668206670513084,0.0006058831584791741,0.00027095918575634225,-6.482245567701427
AST_OPP,0.0004377092636564939,0.6704008037576376,0.0004928884523558391,0.00022042641695846452,1.985738686388812
BLK,-0.0011922685810888956,0.6687708259128922,0.00175433928275684,0.0007845643783685037,-1.5196567852955674
BLK_OPP,-0.0004868342068303777,0.6694762602871507,0.0013128252363011678,0.0005871132941893271,-0.8291997671464543
DEF_RTG,0.003387064643713411,0.6733501591376945,0.0029100560632881333,0.0013014166351695393,2.6025982396269036
DEF_RTG_OPP,0.002959350399694194,0.6729224448936753,0.002520028473216041,0.0011269909942692152,2.625886466478068
DREB,-0.003027217961859896,0.6669358765321212,0.0009375741555868422,0.00041929590916782867,-7.21976507681169
DREB_OPP,-0.00442500662949652,0.6655380878644845,0.0013946388295193494,0.000623701445373201,-7.094751282560763
DREB_PCT,-0.005626601809280207,0.6643364926847009,0.0024983295057808127,0.0011172869210238701,-5.035950661736958
DREB_PCT_OPP,-0.0021740100392315664,0.6677890844547495,0.0016023036295564575,0.000716571967256576,-3.033903276393646
EFG,0.0031845953158363693,0.6731476898098174,0.0022686909519847556,0.001014589437715325,3.1388019601381933
EFG_OPP,0.0018892841636563018,0.6718523786576374,0.0009948007364738666,0.000444888414164484,4.246647256940695
FG3A,3.330161109149632e-05,0.6699963961050726,0.0007515212213304262,0.00033609050748569956,0.09908524742524387
FG3A_OPP,-0.0015731023829365087,0.6683899921110446,0.0007984573000193585,0.0003570809599948459,-4.405450189669073
FG3M,-0.000755386809907499,0.6692077076840736,0.000545536772354242,0.0002439714614419826,-3.0962097183122093
FG3M_OPP,0.0004825934150440858,0.6704456879090251,0.0008236100138254755,0.00036832959557266093,1.3102216624590621
FG3_PCT,-0.0019522379828894598,0.6680108565110916,0.0010659075315043029,0.00047668833963452397,-4.095417950408095
