Date,Matchup,Bookmaker,Team,Moneyline Odds
2023-10-28T12:00:00Z,Cleveland Cavaliers vs Indiana Pacers,draftkings,Cleveland Cavaliers,-162
2023-10-28T12:00:00Z,Cleveland Cavaliers vs Indiana Pacers,draftkings,Indiana Pacers,136
2023-10-28T12:00:00Z,Toronto Raptors vs Philadelphia 76ers,draftkings,Philadelphia 76ers,-175
2023-10-28T12:00:00Z,Toronto Raptors vs Philadelphia 76ers,draftkings,Toronto Raptors,145
2023-10-28T12:00:00Z,Minnesota Timberwolves vs Miami Heat,draftkings,Miami Heat,160
2023-10-28T12:00:00Z,Minnesota Timberwolves vs Miami Heat,draftkings,Minnesota Timberwolves,-192
2023-10-28T12:00:00Z,Phoenix Suns vs Utah Jazz,draftkings,Phoenix Suns,-230
2023-10-28T12:00:00Z,Phoenix Suns vs Utah Jazz,draftkings,Utah Jazz,190
2023-10-29T12:00:00Z,Oklahoma City Thunder vs Denver Nuggets,draftkings,Denver Nuggets,-155
2023-10-29T12:00:00Z,Oklahoma City Thunder vs Denver Nuggets,draftkings,Oklahoma City Thunder,130
2023-10-29T12:00:00Z,Milwaukee Bucks vs Atlanta Hawks,draftkings,Atlanta Hawks,225
2023-10-29T12:00:00Z,Milwaukee Bucks vs Atlanta Hawks,draftkings,Milwaukee Bucks,-278
2023-10-29T12:00:00Z,Houston Rockets vs Golden State Warriors,draftkings,Golden State Warriors,-185
2023-10-29T12:00:00Z,Houston Rockets vs Golden State Warriors,draftkings,Houston Rockets,154
2023-10-29T12:00:00Z,Philadelphia 76ers vs Portland Trail Blazers,draftkings,Philadelphia 76ers,-485
2023-10-29T12:00:00Z,Philadelphia 76ers vs Portland Trail Blazers,draftkings,Portland Trail Blazers,370
2023-10-29T12:00:00Z,Los Angeles Clippers vs San Antonio Spurs,draftkings,Los Angeles Clippers,-395
2023-10-29T12:00:00Z,Los Angeles Clippers vs San Antonio Spurs,draftkings,San Antonio Spurs,295
2023-10-29T12:00:00Z,Sacramento Kings vs Los Angeles Lakers,draftkings,Los Angeles Lakers,124
2023-10-29T12:00:00Z,Sacramento Kings vs Los Angeles Lakers,draftkings,Sacramento Kings,-148
2023-10-30T12:00:00Z,Washington Wizards vs Boston Celtics,draftkings,Boston Celtics,-485
2023-10-30T12:00:00Z,Washington Wizards vs Boston Celtics,draftkings,Washington Wizards,370
2023-10-30T12:00:00Z,Charlotte Hornets vs Brooklyn Nets,draftkings,Brooklyn Nets,-115
2023-10-30T12:00:00Z,Charlotte Hornets vs Brooklyn Nets,draftkings,Charlotte Hornets,-105
2023-10-30T12:00:00Z,Indiana Pacers vs Chicago Bulls,draftkings,Chicago Bulls,140
2023-10-30T12:00:00Z,Indiana Pacers vs Chicago Bulls,draftkings,Indiana Pacers,-166
2023-10-30T12:00:00Z,Atlanta Hawks vs Minnesota Timberwolves,draftkings,Atlanta Hawks,110
2023-10-30T12:00:00Z,Atlanta Hawks vs Minnesota Timberwolves,draftkings,Minnesota Timberwolves,-130
