,Unnamed: 0,index,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,TEAM_ID_OPP,TEAM_ABBREVIATION_OPP,TEAM_NAME_OPP,GAME_DATE_OPP,MATCHUP_OPP,WL_OPP,MIN_OPP,FGM_OPP,FGA_OPP,FG_PCT_OPP,FG3M_OPP,FG3A_OPP,FG3_PCT_OPP,FTM_OPP,FTA_OPP,FT_PCT_OPP,OREB_OPP,DREB_OPP,REB_OPP,AST_OPP,STL_OPP,BLK_OPP,TOV_OPP,PF_OPP,PTS_OPP,PLUS_MINUS_OPP,PACE,POSSESSIONS,OFF_RTG,DEF_RTG,NET_RTG,EFG,TOV_PCT,OREB_PCT,DREB_PCT,FT_PER_FGA,PACE_OPP,POSSESSIONS_OPP,OFF_RTG_OPP,DEF_RTG_OPP,NET_RTG_OPP,EFG_OPP,TOV_PCT_OPP,OREB_PCT_OPP,DREB_PCT_OPP,FT_PER_FGA_OPP,HOME,Model Win Prob
9208,9208,21,1610612762.0,UTA,Utah Jazz,22300072,2023-10-25,UTA vs. SAC,0,240,41.0,91.0,0.451,9.0,28.0,0.321,23.0,31.0,0.742,16.0,38.0,54.0,22.0,6.0,2.0,14.0,20.0,114.0,-16.0,1610612758,SAC,Sacramento Kings,2023-10-25,SAC @ UTA,W,240,47.0,102.0,0.461,19.0,51.0,0.373,17.0,20.0,0.85,15.0,30.0,45.0,29.0,6.0,8.0,12.0,25.0,130.0,16.0,102.0678219852338,102.0678219852338,111.69044051561366,127.36629181605066,-15.675851300437005,0.5,0.1180040458530006,0.3478260869565217,0.7169811320754716,0.2527472527472527,102.0678219852338,102.0678219852338,127.36629181605066,111.69044051561366,15.675851300437005,0.553921568627451,0.0977198697068403,0.2830188679245283,0.6521739130434783,0.1666666666666666,1.0,0.18521549
9209,9209,22,1610612758.0,SAC,Sacramento Kings,22300072,2023-10-25,SAC @ UTA,1,240,47.0,102.0,0.461,19.0,51.0,0.373,17.0,20.0,0.85,15.0,30.0,45.0,29.0,6.0,8.0,12.0,25.0,130.0,16.0,1610612762,UTA,Utah Jazz,2023-10-25,UTA vs. SAC,L,240,41.0,91.0,0.451,9.0,28.0,0.321,23.0,31.0,0.742,16.0,38.0,54.0,22.0,6.0,2.0,14.0,20.0,114.0,-16.0,102.0678219852338,102.0678219852338,127.36629181605066,111.69044051561366,15.675851300437005,0.553921568627451,0.0977198697068403,0.2830188679245283,0.6521739130434783,0.1666666666666666,102.0678219852338,102.0678219852338,111.69044051561366,127.36629181605066,-15.675851300437005,0.5,0.1180040458530006,0.3478260869565217,0.7169811320754716,0.2527472527472527,0.0,0.8542017
9210,9210,25,1610612740.0,NOP,New Orleans Pelicans,22300071,2023-10-25,NOP @ MEM,1,240,40.0,85.0,0.471,14.0,32.0,0.438,17.0,22.0,0.773,11.0,41.0,52.0,22.0,8.0,5.0,21.0,21.0,111.0,7.0,1610612763,MEM,Memphis Grizzlies,2023-10-25,MEM vs. NOP,L,240,38.0,91.0,0.418,12.0,43.0,0.279,16.0,20.0,0.8,8.0,29.0,37.0,23.0,8.0,7.0,13.0,19.0,104.0,-7.0,102.14998724489794,102.14998724489794,108.66374337755396,101.81107487626676,6.852668501287184,0.5529411764705883,0.1815352697095435,0.275,0.8367346938775511,0.2,102.14998724489794,102.14998724489796,101.81107487626676,108.66374337755394,-6.852668501287184,0.4835164835164835,0.1152482269503546,0.1632653061224489,0.725,0.1758241758241758,0.0,0.71411794
9211,9211,26,1610612763.0,MEM,Memphis Grizzlies,22300071,2023-10-25,MEM vs. NOP,0,240,38.0,91.0,0.418,12.0,43.0,0.279,16.0,20.0,0.8,8.0,29.0,37.0,23.0,8.0,7.0,13.0,19.0,104.0,-7.0,1610612740,NOP,New Orleans Pelicans,2023-10-25,NOP @ MEM,W,240,40.0,85.0,0.471,14.0,32.0,0.438,17.0,22.0,0.773,11.0,41.0,52.0,22.0,8.0,5.0,21.0,21.0,111.0,7.0,102.14998724489796,102.14998724489796,101.81107487626676,108.66374337755394,-6.852668501287184,0.4835164835164835,0.1152482269503546,0.1632653061224489,0.725,0.1758241758241758,102.14998724489796,102.14998724489794,108.66374337755396,101.81107487626676,6.852668501287184,0.5529411764705883,0.1815352697095435,0.275,0.8367346938775511,0.2,1.0,0.16548058
9212,9212,29,1610612760.0,OKC,Oklahoma City Thunder,22300070,2023-10-25,OKC @ CHI,1,240,45.0,82.0,0.549,19.0,39.0,0.487,15.0,18.0,0.833,5.0,38.0,43.0,30.0,6.0,4.0,16.0,19.0,124.0,20.0,1610612741,CHI,Chicago Bulls,2023-10-25,CHI vs. OKC,L,240,39.0,94.0,0.415,12.0,42.0,0.286,14.0,18.0,0.778,13.0,29.0,42.0,26.0,10.0,3.0,13.0,16.0,104.0,-20.0,99.28848039215686,99.28848039215686,124.88860692624236,104.74528322846132,20.143323697781028,0.6646341463414634,0.1510574018126888,0.1470588235294117,0.7450980392156863,0.1829268292682926,99.28848039215686,99.28848039215686,104.74528322846132,124.88860692624236,-20.143323697781028,0.4787234042553192,0.1131221719457013,0.2549019607843137,0.8529411764705882,0.1489361702127659,0.0,0.9360885
9213,9213,30,1610612741.0,CHI,Chicago Bulls,22300070,2023-10-25,CHI vs. OKC,0,240,39.0,94.0,0.415,12.0,42.0,0.286,14.0,18.0,0.778,13.0,29.0,42.0,26.0,10.0,3.0,13.0,16.0,104.0,-20.0,1610612760,OKC,Oklahoma City Thunder,2023-10-25,OKC @ CHI,W,240,45.0,82.0,0.549,19.0,39.0,0.487,15.0,18.0,0.833,5.0,38.0,43.0,30.0,6.0,4.0,16.0,19.0,124.0,20.0,99.28848039215686,99.28848039215686,104.74528322846132,124.88860692624236,-20.143323697781028,0.4787234042553192,0.1131221719457013,0.2549019607843137,0.8529411764705882,0.1489361702127659,99.28848039215686,99.28848039215686,124.88860692624236,104.74528322846132,20.143323697781028,0.6646341463414634,0.1510574018126888,0.1470588235294117,0.7450980392156863,0.1829268292682926,1.0,0.046179265
9214,9214,33,1610612750.0,MIN,Minnesota Timberwolves,22300069,2023-10-25,MIN @ TOR,0,240,34.0,100.0,0.34,8.0,31.0,0.258,18.0,22.0,0.818,16.0,46.0,62.0,20.0,8.0,9.0,14.0,14.0,94.0,-3.0,1610612761,TOR,Toronto Raptors,2023-10-25,TOR vs. MIN,W,240,36.0,90.0,0.4,14.0,35.0,0.4,11.0,16.0,0.688,8.0,39.0,47.0,27.0,9.0,11.0,14.0,18.0,97.0,3.0,102.048,102.048,92.11351520852932,95.0533082470994,-2.939793038570087,0.38,0.1131953428201811,0.2909090909090909,0.8518518518518519,0.18,102.048,102.048,95.0533082470994,92.11351520852932,2.939793038570087,0.4777777777777778,0.1260806916426513,0.1481481481481481,0.7090909090909091,0.1222222222222222,0.0,0.32534567
9215,9215,34,1610612761.0,TOR,Toronto Raptors,22300069,2023-10-25,TOR vs. MIN,1,240,36.0,90.0,0.4,14.0,35.0,0.4,11.0,16.0,0.688,8.0,39.0,47.0,27.0,9.0,11.0,14.0,18.0,97.0,3.0,1610612750,MIN,Minnesota Timberwolves,2023-10-25,MIN @ TOR,L,240,34.0,100.0,0.34,8.0,31.0,0.258,18.0,22.0,0.818,16.0,46.0,62.0,20.0,8.0,9.0,14.0,14.0,94.0,-3.0,102.048,102.048,95.0533082470994,92.11351520852932,2.939793038570087,0.4777777777777778,0.1260806916426513,0.1481481481481481,0.7090909090909091,0.1222222222222222,102.048,102.048,92.11351520852932,95.0533082470994,-2.939793038570087,0.38,0.1131953428201811,0.2909090909090909,0.8518518518518519,0.18,1.0,0.56283075
9216,9216,37,1610612751.0,BKN,Brooklyn Nets,22300067,2023-10-25,BKN vs. CLE,0,240,42.0,84.0,0.5,9.0,27.0,0.333,20.0,26.0,0.769,13.0,37.0,50.0,30.0,6.0,6.0,18.0,16.0,113.0,-1.0,1610612739,CLE,Cleveland Cavaliers,2023-10-25,CLE @ BKN,W,240,44.0,94.0,0.468,17.0,43.0,0.395,9.0,10.0,0.9,9.0,29.0,38.0,25.0,10.0,6.0,10.0,23.0,114.0,1.0,98.0113043478261,98.0113043478261,115.292823365539,116.31311383780042,-1.020290472261408,0.5535714285714286,0.1586741889985895,0.3095238095238095,0.8043478260869565,0.238095238095238,98.0113043478261,98.0113043478261,116.31311383780042,115.292823365539,1.020290472261408,0.5585106382978723,0.092250922509225,0.1956521739130435,0.6904761904761905,0.0957446808510638,1.0,0.44641858
9217,9217,38,1610612739.0,CLE,Cleveland Cavaliers,22300067,2023-10-25,CLE @ BKN,1,240,44.0,94.0,0.468,17.0,43.0,0.395,9.0,10.0,0.9,9.0,29.0,38.0,25.0,10.0,6.0,10.0,23.0,114.0,1.0,1610612751,BKN,Brooklyn Nets,2023-10-25,BKN vs. CLE,L,240,42.0,84.0,0.5,9.0,27.0,0.333,20.0,26.0,0.769,13.0,37.0,50.0,30.0,6.0,6.0,18.0,16.0,113.0,-1.0,98.0113043478261,98.0113043478261,116.31311383780042,115.292823365539,1.020290472261408,0.5585106382978723,0.092250922509225,0.1956521739130435,0.6904761904761905,0.0957446808510638,98.0113043478261,98.0113043478261,115.292823365539,116.31311383780042,-1.020290472261408,0.5535714285714286,0.1586741889985895,0.3095238095238095,0.8043478260869565,0.238095238095238,0.0,0.4291243
